maritime_summary_2
portname,average_2019_2024
Magellan Strait,1406.3333333333300
Torres Strait,3260.5
Mona Passage,3687.0
Ombai Strait,4140.833333333330
Windward Passage,5592.5
Sunda Strait,10402.333333333300
Panama Canal,10978.833333333300
Lombok Strait,12976.5
Tsugaru Strait,16117.833333333300
Yucatan Channel,16166.5
Oresund Strait,18144.0
Cape of Good Hope,19306.5
Makassar Strait,19436.333333333300
Bab el-Mandeb Strait,20396.666666666700
Suez Canal,20550.166666666700
Luzon Strait,25835.5
Strait of Hormuz,34009.666666666700
Bosporus Strait,35471.333333333300
Gibraltar Strait,47407.333333333300
Bohai Strait,47987.333333333300
Dover Strait,60230.0
Malacca Strait,68730.33333333330
Taiwan Strait,80036.83333333330
Korea Strait,80438.0
