portname,year,value
Bab el-Mandeb Strait,2019,19513.0
Bohai Strait,2019,41443.0
Bosporus Strait,2019,38799.0
Cape of Good Hope,2019,17284.0
Dover Strait,2019,59349.0
Gibraltar Strait,2019,42736.0
Korea Strait,2019,81702.0
Lombok Strait,2019,12181.0
Luzon Strait,2019,22457.0
Magellan Strait,2019,1277.0
Makassar Strait,2019,18660.0
Malacca Strait,2019,63016.0
Mona Passage,2019,3961.0
Ombai Strait,2019,4644.0
Oresund Strait,2019,19979.0
Panama Canal,2019,11490.0
Strait of Hormuz,2019,32445.0
Suez Canal,2019,19330.0
Sunda Strait,2019,10075.0
Taiwan Strait,2019,85079.0
Torres Strait,2019,3196.0
Tsugaru Strait,2019,16276.0
Windward Passage,2019,5900.0
Yucatan Channel,2019,15840.0
Bab el-Mandeb Strait,2020,19860.0
Bohai Strait,2020,54686.0
Bosporus Strait,2020,36622.0
Cape of Good Hope,2020,18381.0
Dover Strait,2020,57552.0
Gibraltar Strait,2020,45351.0
Korea Strait,2020,80941.0
Lombok Strait,2020,12614.0
Luzon Strait,2020,23408.0
Magellan Strait,2020,1123.0
Makassar Strait,2020,18732.0
Malacca Strait,2020,59517.0
Mona Passage,2020,3580.0
Ombai Strait,2020,4373.0
Oresund Strait,2020,20756.0
Panama Canal,2020,11100.0
Strait of Hormuz,2020,31807.0
Suez Canal,2020,19297.0
Sunda Strait,2020,10268.0
Taiwan Strait,2020,84245.0
Torres Strait,2020,3178.0
Tsugaru Strait,2020,16363.0
Windward Passage,2020,5834.0
Yucatan Channel,2020,16054.0
Bab el-Mandeb Strait,2021,21551.0
Bohai Strait,2021,52974.0
Bosporus Strait,2021,36598.0
Cape of Good Hope,2021,17245.0
Dover Strait,2021,59770.0
Gibraltar Strait,2021,46989.0
Korea Strait,2021,81532.0
Lombok Strait,2021,12999.0
Luzon Strait,2021,25001.0
Magellan Strait,2021,1410.0
Makassar Strait,2021,19502.0
Malacca Strait,2021,59461.0
Mona Passage,2021,3608.0
Ombai Strait,2021,4027.0
Oresund Strait,2021,19758.0
Panama Canal,2021,11668.0
Strait of Hormuz,2021,33507.0
Suez Canal,2021,21130.0
Sunda Strait,2021,10215.0
Taiwan Strait,2021,84959.0
Torres Strait,2021,3248.0
